maintenanceID;tailNumber;issueDetected;source;status;assignedTo;deadline
MNT9165;AC7701;;Post-flight check;COMPLETED;Technician D;2025-08-18
MNT9166;BA4885;;OCR Checklist;PENDING;Technician E;2025-08-21
MNT9167;AF2394;;Routine maintenance;IN_PROGRESS;Technician F;2025-08-19
MNT9168;EK7648;;Pilot report;OVERDUE;Technician A;2025-07-16
MNT9169;TK5029;;Ground crew report;COMPLETED;Technician B;2025-08-22
MNT9170;QR3472;;Pre-flight inspection;PENDING;Technician C;2025-08-20
MNT9171;CX8136;;Post-flight check;IN_PROGRESS;Technician D;2025-08-23
MNT9172;VS9950;;OCR Checklist;COMPLETED;Technician E;2025-08-21
MNT9173;UA2584;;Routine maintenance;OVERDUE;Technician F;2025-07-15
MNT9174;DL7798;;Pilot report;PENDING;Technician A;2025-08-24
MNT9175;AA1362;;Ground crew report;IN_PROGRESS;Technician B;2025-08-22
MNT9176;WN4975;;Pre-flight inspection;COMPLETED;Technician C;2025-08-25
MNT9177;B66118;;Post-flight check;PENDING;Technician D;2025-08-23
MNT9178;AS3741;;OCR Checklist;OVERDUE;Technician E;2025-07-14
MNT9179;NK8605;;Routine maintenance;IN_PROGRESS;Technician F;2025-08-26
MNT9180;F94269;;Pilot report;COMPLETED;Technician A;2025-08-24
MNT9062;AA7448;;Pilot report;PENDING;Technician A;2025-08-19
MNT9063;DL1887;;Ground crew report;IN_PROGRESS;Technician B;2025-08-17
MNT9064;UA8589;;Pre-flight inspection;COMPLETED;Technician C;2025-08-15
MNT9065;LH8573;;Post-flight check;PENDING;Technician D;2025-08-20
MNT9066;AM5855;;OCR Checklist;OVERDUE;Technician E;2025-07-16
MNT9067;AM4292;;Routine maintenance;IN_PROGRESS;Technician F;2025-08-18
MNT9068;AV3764;;Pilot report;COMPLETED;Technician A;2025-08-16
MNT9069;NH8398;;Ground crew report;PENDING;Technician B;2025-08-21
MNT9070;AV6390;;Pre-flight inspection;IN_PROGRESS;Technician C;2025-08-19
MNT9071;KE5891;;Post-flight check;OVERDUE;Technician D;2025-07-15
MNT9072;UA9984;;OCR Checklist;PENDING;Technician E;2025-08-17
MNT9073;UA3491;;Routine maintenance;COMPLETED;Technician F;2025-08-20
MNT9074;AV8222;;Pilot report;IN_PROGRESS;Technician A;2025-08-22
MNT9075;SK2136;;Ground crew report;PENDING;Technician B;2025-08-18
MNT9076;AZ8666;;Pre-flight inspection;OVERDUE;Technician C;2025-07-14
MNT9077;SK2386;;Post-flight check;IN_PROGRESS;Technician D;2025-08-21
MNT9078;AV7364;;OCR Checklist;COMPLETED;Technician E;2025-08-19
MNT9079;IB9873;;Routine maintenance;PENDING;Technician F;2025-08-23
MNT9080;QF6818;;Pilot report;IN_PROGRESS;Technician A;2025-08-20
MNT9081;LH6645;;Ground crew report;OVERDUE;Technician B;2025-07-13
MNT9082;AI9907;;Pre-flight inspection;PENDING;Technician C;2025-08-24
MNT9083;KL3748;;Post-flight check;IN_PROGRESS;Technician D;2025-08-22
MNT9084;TG4162;;OCR Checklist;COMPLETED;Technician E;2025-08-21
MNT9085;BA7019;;Routine maintenance;PENDING;Technician F;2025-08-25
MNT9086;TG3333;;Pilot report;OVERDUE;Technician A;2025-07-12
MNT9087;QF3037;;Ground crew report;IN_PROGRESS;Technician B;2025-08-23
MNT9088;ET5945;;Pre-flight inspection;COMPLETED;Technician C;2025-08-22
MNT9089;IB8450;;Post-flight check;PENDING;Technician D;2025-08-26
MNT9090;TG5206;;OCR Checklist;IN_PROGRESS;Technician E;2025-08-24
MNT9091;AI5401;;Routine maintenance;OVERDUE;Technician F;2025-07-11
MNT9092;NH9612;;Pilot report;PENDING;Technician A;2025-08-27
MNT9093;SK3007;;Ground crew report;COMPLETED;Technician B;2025-08-25
MNT9094;KE8507;;Pre-flight inspection;IN_PROGRESS;Technician C;2025-08-28
MNT9095;SK9204;;Post-flight check;PENDING;Technician D;2025-08-23
MNT9096;TG3277;;OCR Checklist;OVERDUE;Technician E;2025-07-10
MNT9097;BA6235;;Routine maintenance;IN_PROGRESS;Technician F;2025-08-26
MNT9098;DL2657;;Pilot report;COMPLETED;Technician A;2025-08-24
MNT9099;AI6155;;Ground crew report;PENDING;Technician B;2025-08-29
MNT9100;EK6800;;Pre-flight inspection;IN_PROGRESS;Technician C;2025-08-27
